FIPS,cases,deaths
26057,13925,191.0
26059,10523,204.0
26061,8042,92.0
26063,8207,146.0
26065,67283,771.0
26067,19964,182.0
26069,4930,145.0
26071,2687,87.0
26073,16014,214.0
26075,45893,591.0
26077,61464,676.0
26079,3674,61.0
26081,171766,1537.0
26083,532,14.0
26085,1911,37.0
26087,21253,427.0
26089,3731,55.0
26091,26882,331.0
26093,48222,452.0
26095,2319,14.0
26097,2521,31.0
26099,242127,3975.0
26101,4596,93.0
26103,16519,131.0
26105,6922,96.0
26107,8855,108.0
26109,5731,70.0
26111,19680,226.0
26113,2970,61.0
26115,39689,478.0
26117,17450,218.0
26119,1758,48.0
26121,42791,650.0
26123,11692,159.0
26125,305484,3859.0
26127,6471,90.0
26129,4399,106.0
26131,1015,38.0
26133,5097,80.0
26135,1467,56.0
26137,5849,101.0
26139,76822,786.0
26141,2119,58.0
26143,4733,115.0
26145,51932,958.0
26151,8877,194.0
26153,1786,16.0
26155,18308,232.0
26147,42024,837.0
26149,13864,209.0
26157,13437,277.0
26159,17462,273.0
26161,85159,524.0
26163,422898,7983.0
26165,7239,107.0
27001,3072,62.0
27003,101508,799.0
27005,9000,94.0
27007,12237,128.0
27009,14396,174.0
27011,1428,9.0
27013,18431,101.0
27015,6676,81.0
27017,9358,98.0
27019,27706,117.0
27021,7170,81.0
27023,3146,48.0
27025,14943,120.0
27027,20254,124.0
27029,2177,30.0
27031,599,4.0
27033,3258,41.0
27035,16392,170.0
27037,114731,777.0
27039,5929,21.0
27041,11211,117.0
27043,3875,52.0
27045,4963,24.0
27047,9294,75.0
27049,13705,137.0
27051,1513,12.0
27053,316916,2598.0
27055,4691,19.0
27057,5037,59.0
27059,10341,117.0
27061,11337,146.0
27063,2173,17.0
27065,3598,57.0
27067,13728,139.0
27069,1054,27.0
27071,2841,37.0
27073,1775,29.0
27075,2161,28.0
27077,788,6.0
27079,6622,51.0
27081,1224,6.0
27083,7161,74.0
27087,1816,18.0
27089,2133,24.0
27091,5713,65.0
27085,10850,108.0
27093,6043,75.0
27095,7412,114.0
27097,9331,105.0
27099,12133,74.0
27101,2047,16.0
27103,8385,66.0
27105,6991,60.0
27107,1549,14.0
27109,44160,185.0
27111,13849,167.0
27113,3722,41.0
27115,7261,67.0
27117,2018,34.0
27119,8998,107.0
27121,3154,17.0
27123,130467,1353.0
27125,957,13.0
27127,3995,54.0
27129,3808,56.0
27131,18482,176.0
27133,2349,34.0
27135,4546,44.0
27139,41581,262.0
27141,27806,181.0
27143,3622,24.0
27137,49335,534.0
27145,52003,368.0
27147,10714,62.0
27149,2695,13.0
27151,2326,33.0
27153,6938,58.0
27155,877,10.0
27157,5845,19.0
27159,4288,55.0
27161,5623,39.0
27163,69834,484.0
