List
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 57, 57, 61, 61, 61, 61, 53, 53, 53, 53, 55, 55, 55, 43, 43, 43, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 48, 48, 48, 48, 45, 45, 45, 45, 45, 45, 45, 45, 43, 43, 43, 43, 47, 47, 47, 47, 50, 50, 50, 48, 48, 45, 45, 45, 42, 42, 42, 42, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 61, 61, 61, 61, 61, 61, 61, 53, 53, 53, 53, 59, 59, 59, 43, 52, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 48, 48, 48, 48, 45, 45, 45, 45, 45, 45, 45, 45, 43, 45, 45, 43, 43, 43, 47, 47, 50, 50, 50, 48, 48, 45, 45, 45, 42, 42, 42, 42, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 63, 61, 61, 61, 61, 61, 61, 61, 59, 59, 59, 59, 59, 59, 59, 52, 52, 52, 52, 51, 51, 51, 47, 50, 50, 50, 50, 50, 50, 48, 48, 48, 48, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 45, 45, 43, 43, 42, 42, 47, 47, 47, 48, 48, 46, 46, 44, 44, 44, 44, 44, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 62, 62, 67, 67, 65, 65, 65, 65, 65, 65, 65, 59, 59, 59, 59, 59, 51, 51, 51, 51, 51, 51, 51, 51, 51, 47, 47, 47, 47, 47, 47, 48, 48, 48, 48, 48, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 45, 45, 42, 42, 42, 42, 47, 47, 48, 48, 48, 46, 46, 46, 41, 41, 41, 41, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 62, 62, 67, 67, 65, 65, 65, 65, 65, 65, 65, 59, 59, 59, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 45, 45, 45, 45, 45, 45, 45, 44, 44, 44, 44, 46, 46, 46, 46, 46, 51, 51, 48, 50, 47, 42, 42, 42, 41, 42, 41, 44, 47, 47, 45, 45, 45, 44, 44, 43, 43, 40, 40, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 72, 72, 67, 67, 65, 65, 65, 65, 65, 65, 65, 59, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 45, 45, 45, 45, 44, 44, 44, 44, 44, 44, 44, 46, 46, 46, 46, 47, 51, 43, 43, 43, 39, 39, 39, 39, 41, 41, 41, 41, 43, 43, 43, 42, 42, 42, 42, 41, 41, 41, 41, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 72, 72, 67, 67, 65, 65, 65, 65, 65, 65, 65, 63, 63, 63, 63, 63, 53, 53, 53, 53, 51, 51, 51, 51, 45, 45, 45, 45, 45, 44, 44, 44, 44, 44, 44, 44, 46, 46, 46, 47, 47, 47, 47, 47, 43, 39, 39, 39, 39, 41, 41, 41, 41, 41, 43, 43, 42, 41, 41, 41, 41, 41, 41, 41, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 72, 72, 67, 67, 65, 65, 65, 65, 65, 63, 63, 63, 63, 63, 63, 63, 53, 53, 53, 53, 53, 53, 53, 45, 45, 45, 45, 45, 45, 44, 44, 44, 44, 44, 44, 44, 46, 46, 46, 48, 48, 41, 41, 41, 37, 37, 37, 39, 39, 41, 41, 41, 41, 41, 43, 41, 41, 41, 41, 38, 38, 38, 38, 41, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 72, 72, 72, 72, 70, 70, 70, 65, 61, 61, 61, 61, 61, 61, 63, 63, 63, 63, 53, 53, 53, 53, 53, 53, 53, 45, 45, 45, 45, 45, 45, 44, 44, 44, 44, 44, 44, 44, 45, 45, 48, 46, 46, 41, 41, 37, 37, 37, 37, 37, 38, 38, 39, 39, 39, 39, 39, 40, 40, 42, 42, 42, 38, 38, 38, 38, 0, 0]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 72, 72, 72, 72, 70, 70, 70, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 54, 54, 54, 47, 47, 47, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 47, 47, 47, 47, 45, 45, 45, 45, 45, 41, 40, 37, 37, 37, 38, 38, 38, 36, 36, 39, 38, 38, 38, 40, 40, 40, 42, 38, 38, 38, 37, 37, 0, 0]"
